fold_1,fold_2,fold_3,fold_4,fold_5
553137,553137,553137,553137,553137
A1CF|29974,A1CF|29974,A1CF|29974,A1CF|29974,A1CF|29974
ABCA12|26154,ABCA12|26154,ABCA12|26154,ABCA12|26154,ABCA12|26154
ABCC11|85320,ABCC11|85320,ABCC11|85320,ABCC11|85320,ABCC11|85320
ABCC8|6833,ABCC8|6833,ABCC8|6833,ABCC8|6833,ABCC8|6833
ABP1|26,ABP1|26,ABP1|26,ABP1|26,ABP1|26
ACADL|33,ACADL|33,ACADL|33,ACADL|33,ACADL|33
ACE2|59272,ACE2|59272,ACE2|59272,ACE2|59272,ACE2|59272
ACMSD|130013,ACMSD|130013,ACMSD|130013,ACMSD|130013,ACMSD|130013
ACPP|55,ACPP|55,ACPP|55,ACPP|55,ACPP|55
ACSM2A|123876,ACSM2A|123876,ACSM2A|123876,ACSM2A|123876,ACSM2A|123876
ACSM2B|348158,ACSM2B|348158,ACSM2B|348158,ACSM2B|348158,ACSM2B|348158
ACY3|91703,ACY3|91703,ACY3|91703,ACY3|91703,ACY3|91703
ADH1B|125,ADH1B|125,ADH1B|125,ADH1B|125,ADH1B|125
ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370
AGR2|10551,AGR2|10551,AGR2|10551,AGR2|10551,AGR2|10551
AGR3|155465,AGR3|155465,AGR3|155465,AGR3|155465,AGR3|155465
AGXT2|64902,AGXT2|64902,AGXT2|64902,AGXT2|64902,AGXT2|64902
AKR1B10|57016,AKR1B10|57016,AKR1B10|57016,AKR1B10|57016,AKR1B10|57016
ALDH1L1|10840,ALDH1L1|10840,ALDH1L1|10840,ALDH1L1|10840,ALDH1L1|10840
ALDH3B2|222,ALDH3B2|222,ALDH3B2|222,ALDH3B2|222,ALDH3B2|222
ALDOB|229,ALDOB|229,ALDOB|229,ALDOB|229,ALDOB|229
ALOX15B|247,ALOX15B|247,ALOX15B|247,ALOX15B|247,ALOX15B|247
AMN|81693,AMN|81693,AMN|81693,AMN|81693,AMN|81693
AMY1A|276,AMY1A|276,AMY1A|276,AMY1A|276,AMY1A|276
ANKRD30A|91074,ANGPTL4|51129,ANKRD30A|91074,ANKRD30A|91074,ANGPTL4|51129
ANKRD30B|374860,ANKRD30A|91074,ANKRD30B|374860,ANKRD30B|374860,ANKRD30A|91074
ANKS4B|257629,ANKRD30B|374860,ANKS4B|257629,ANKS4B|257629,ANKRD30B|374860
ANXA13|312,ANKS4B|257629,ANXA13|312,ANXA13|312,ANKS4B|257629
ANXA8|653145,ANXA13|312,AQP4|361,ANXA8|653145,ANXA13|312
AQP4|361,ANXA8|653145,AQP5|362,AQP4|361,ANXA8|653145
AQP5|362,AQP4|361,ARSE|415,AQP5|362,AQP4|361
ARSE|415,AQP5|362,AR|367,ARSE|415,AQP5|362
AR|367,ARSE|415,ATP10B|23120,AR|367,ARSE|415
ATP10B|23120,ASCL1|429,ATP13A4|84239,ATP10B|23120,AR|367
ATP13A4|84239,ATP10B|23120,ATP6V0A4|50617,ATP6V0A4|50617,ATP10B|23120
AZGP1|563,ATP6V0A4|50617,AZGP1|563,AZGP1|563,ATP6V0A4|50617
B3GNT6|192134,AZGP1|563,B3GNT3|10331,B3GNT6|192134,AZGP1|563
BBOX1|8424,B3GNT6|192134,B3GNT6|192134,BBOX1|8424,B3GNT3|10331
BCAS1|8537,BBOX1|8424,BBOX1|8424,BCAS1|8537,B3GNT6|192134
BEND4|389206,BCAS1|8537,BCAS1|8537,BEND4|389206,BBOX1|8424
BHMT2|23743,BEND4|389206,BEND4|389206,BHMT2|23743,BCAS1|8537
BHMT|635,BHMT2|23743,BHMT2|23743,BHMT|635,BEND4|389206
BMPR1B|658,BHMT|635,BHMT|635,BMPR1B|658,BHMT2|23743
BPIL1|80341,BMPR1B|658,BMPR1B|658,BPIL1|80341,BHMT|635
C10orf81|79949,BPIL1|80341,BNIPL|149428,C10orf81|79949,BMPR1B|658
C10orf99|387695,C10orf81|79949,BPIL1|80341,C10orf99|387695,BPIL1|80341
C12orf36|283422,C10orf99|387695,C10orf81|79949,C12orf36|283422,C10orf81|79949
C14orf105|55195,C12orf36|283422,C10orf99|387695,C14orf105|55195,C10orf99|387695
C16orf89|146556,C14orf105|55195,C12orf36|283422,C16orf89|146556,C12orf36|283422
C17orf93|360205,C16orf89|146556,C14orf105|55195,C17orf93|360205,C14orf105|55195
C19orf77|284422,C17orf93|360205,C16orf89|146556,C19orf77|284422,C16orf89|146556
C1orf116|79098,C19orf21|126353,C17orf93|360205,C1orf116|79098,C17orf93|360205
C1orf64|149563,C19orf77|284422,C19orf21|126353,C1orf64|149563,C19orf77|284422
C20orf114|92747,C1orf116|79098,C19orf77|284422,C20orf114|92747,C1orf116|79098
C20orf56|140828,C1orf64|149563,C1orf116|79098,C20orf56|140828,C1orf64|149563
C3orf57|165679,C20orf114|92747,C1orf64|149563,C3orf57|165679,C20orf114|92747
C4BPA|722,C20orf56|140828,C20orf114|92747,C4BPA|722,C20orf56|140828
C4orf7|260436,C3orf57|165679,C20orf56|140828,C4orf7|260436,C3orf57|165679
C6orf223|221416,C4BPA|722,C3orf57|165679,C6orf223|221416,C4BPA|722
C7|730,C4orf7|260436,C4BPA|722,C7|730,C4orf7|260436
C8orf85|441376,C6orf223|221416,C4orf7|260436,C8orf85|441376,C6orf223|221416
C9orf152|401546,C7|730,C6orf223|221416,C9orf152|401546,C7|730
CA9|768,C8orf85|441376,C7|730,CA9|768,C8orf85|441376
CACNG4|27092,C9orf152|401546,C8orf85|441376,CACNG4|27092,C9orf152|401546
CALML3|810,CA9|768,C9orf152|401546,CALCA|796,CA12|771
CALML5|51806,CACNG4|27092,CA9|768,CALML5|51806,CA9|768
CAPN8|388743,CALCA|796,CACNG4|27092,CAPN8|388743,CACNG4|27092
CCL15|6359,CALML5|51806,CALML5|51806,CCL14-CCL15|348249,CALML5|51806
CCL20|6364,CAPN8|388743,CAPN8|388743,CCL15|6359,CAPN8|388743
CD177|57126,CCL15|6359,CCL15|6359,CCL20|6364,CCL15|6359
CDH16|1014,CCL20|6364,CCL20|6364,CD177|57126,CCL20|6364
CDH17|1015,CD177|57126,CD177|57126,CDH16|1014,CD177|57126
CDHR1|92211,CDH16|1014,CDH16|1014,CDH17|1015,CDH16|1014
CDHR2|54825,CDH17|1015,CDH17|1015,CDHR1|92211,CDH17|1015
CDHR5|53841,CDHR2|54825,CDHR2|54825,CDHR2|54825,CDHR1|92211
CDX1|1044,CDHR5|53841,CDHR5|53841,CDHR5|53841,CDHR2|54825
CDX2|1045,CDX1|1044,CDX1|1044,CDX1|1044,CDHR5|53841
CEACAM5|1048,CDX2|1045,CDX2|1045,CDX2|1045,CDX1|1044
CEACAM6|4680,CEACAM5|1048,CEACAM5|1048,CEACAM5|1048,CDX2|1045
CEACAM7|1087,CEACAM6|4680,CEACAM6|4680,CEACAM6|4680,CEACAM5|1048
CFTR|1080,CEACAM7|1087,CEACAM7|1087,CEACAM7|1087,CEACAM6|4680
CHGA|1113,CFTR|1080,CFTR|1080,CFTR|1080,CEACAM7|1087
CHGB|1114,CHGA|1113,CHGA|1113,CHGA|1113,CFTR|1080
CHIT1|1118,CHGB|1114,CHGB|1114,CHIT1|1118,CHGA|1113
CHRDL1|91851,CHIT1|1118,CHRM1|1128,CHRM1|1128,CHIT1|1118
CHRM1|1128,CHRDL1|91851,CHRNA2|1135,CHRNA2|1135,CHRM1|1128
CHRNA2|1135,CHRM1|1128,CILP|8483,CHST9|83539,CHRNA2|1135
CHST9|83539,CHRNA2|1135,CKMT1A|548596,CILP|8483,CHST9|83539
CILP|8483,CHST9|83539,CLCA2|9635,CKMT1A|548596,CILP|8483
CKMT1B|1159,CILP|8483,CLDN10|9071,CKMT1B|1159,CKMT1A|548596
CLDN10|9071,CKMT1A|548596,CLDN2|9075,CLCA2|9635,CKMT1B|1159
CLDN18|51208,CKMT1B|1159,CLDN8|9073,CLDN10|9071,CLCA2|9635
CLDN2|9075,CLCA2|9635,CLEC18A|348174,CLDN2|9075,CLDN10|9071
CLDN8|9073,CLDN10|9071,CLEC18B|497190,CLDN8|9073,CLDN18|51208
CLEC18A|348174,CLDN2|9075,CLEC18C|283971,CLEC18A|348174,CLDN2|9075
CLEC18B|497190,CLDN8|9073,CLEC3A|10143,CLEC18B|497190,CLDN8|9073
CLEC18C|283971,CLEC18A|348174,CLGN|1047,CLEC18C|283971,CLEC18A|348174
CLEC3A|10143,CLEC18B|497190,CLRN3|119467,CLEC3A|10143,CLEC18B|497190
CLGN|1047,CLEC18C|283971,CLSTN2|64084,CLGN|1047,CLEC18C|283971
CLRN3|119467,CLEC3A|10143,CNTNAP2|26047,CLRN3|119467,CLEC3A|10143
CLSTN2|64084,CLGN|1047,COL10A1|1300,CLSTN2|64084,CLGN|1047
CNTNAP2|26047,CLRN3|119467,COL11A1|1301,CNTNAP2|26047,CLRN3|119467
COL10A1|1300,CLSTN2|64084,COL17A1|1308,COL10A1|1300,CLSTN2|64084
COL11A1|1301,CNTNAP2|26047,COL23A1|91522,COL11A1|1301,CNTNAP2|26047
COL17A1|1308,COL10A1|1300,COL2A1|1280,COL17A1|1308,COL10A1|1300
COL23A1|91522,COL11A1|1301,COMP|1311,COL23A1|91522,COL11A1|1301
COL2A1|1280,COL17A1|1308,CPB1|1360,COL2A1|1280,COL17A1|1308
COMP|1311,COL23A1|91522,CPNE4|131034,COMP|1311,COL23A1|91522
CPB1|1360,COL2A1|1280,CP|1356,CPB1|1360,COL2A1|1280
CPNE4|131034,COMP|1311,CRABP1|1381,CPNE4|131034,COMP|1311
CP|1356,CPB1|1360,CRABP2|1382,CP|1356,CPB1|1360
CRABP1|1381,CPNE4|131034,CREB3L3|84699,CRABP1|1381,CPNE4|131034
CRABP2|1382,CP|1356,CRISP3|10321,CRABP2|1382,CP|1356
CREB3L3|84699,CRABP1|1381,CRYM|1428,CREB3L3|84699,CRABP1|1381
CRISP3|10321,CRABP2|1382,CST1|1469,CRISP3|10321,CRABP2|1382
CRYM|1428,CREB3L3|84699,CTNND2|1501,CRYM|1428,CREB3L3|84699
CST1|1469,CRISP3|10321,CTSE|1510,CST1|1469,CRISP3|10321
CTNND2|1501,CRYM|1428,CUBN|8029,CTNND2|1501,CRYM|1428
CTSE|1510,CST1|1469,CUX2|23316,CTSE|1510,CST1|1469
CUBN|8029,CTNND2|1501,CWH43|80157,CUBN|8029,CTNND2|1501
CUX2|23316,CTSE|1510,CXCL17|284340,CUX2|23316,CTSE|1510
CWH43|80157,CUBN|8029,CXCL1|2919,CWH43|80157,CUBN|8029
CXCL17|284340,CUX2|23316,CXCL5|6374,CXCL17|284340,CUX2|23316
CXCL1|2919,CWH43|80157,CYP24A1|1591,CXCL1|2919,CWH43|80157
CXCL5|6374,CXCL17|284340,CYP2B7P1|1556,CXCL5|6374,CXCL17|284340
CYP24A1|1591,CXCL1|2919,CYP4A11|1579,CYP24A1|1591,CXCL1|2919
CYP2B7P1|1556,CXCL5|6374,CYP4B1|1580,CYP2B7P1|1556,CXCL5|6374
CYP3A5|1577,CYP24A1|1591,CYP4F8|11283,CYP4A11|1579,CYP24A1|1591
CYP4A11|1579,CYP2A6|1548,CYP4Z1|199974,CYP4B1|1580,CYP2B7P1|1556
CYP4B1|1580,CYP2B7P1|1556,CYP4Z2P|163720,CYP4F8|11283,CYP3A5|1577
CYP4F8|11283,CYP4A11|1579,CYorf15A|246126,CYP4Z1|199974,CYP4A11|1579
CYP4Z1|199974,CYP4B1|1580,CYorf15B|84663,CYP4Z2P|163720,CYP4B1|1580
CYP4Z2P|163720,CYP4F8|11283,DACT2|168002,CYorf15A|246126,CYP4F8|11283
CYorf15A|246126,CYP4Z1|199974,DDC|1644,CYorf15B|84663,CYP4Z1|199974
CYorf15B|84663,CYP4Z2P|163720,DDX3Y|8653,DACT2|168002,CYP4Z2P|163720
DACT2|168002,CYorf15A|246126,DEFB1|1672,DDC|1644,CYorf15A|246126
DDC|1644,CYorf15B|84663,DES|1674,DDX3Y|8653,CYorf15B|84663
DDX3Y|8653,DACT2|168002,DHRS2|10202,DEFB1|1672,DACT2|168002
DEFB1|1672,DDC|1644,DIRAS2|54769,DES|1674,DDC|1644
DES|1674,DDX3Y|8653,DLX1|1745,DHRS2|10202,DDX3Y|8653
DHRS2|10202,DEFB1|1672,DMBT1|1755,DIRAS2|54769,DEFB1|1672
DIRAS2|54769,DES|1674,DNAH11|8701,DMBT1|1755,DES|1674
DLX1|1745,DHRS2|10202,DPYS|1807,DNAH11|8701,DHRS2|10202
DMBT1|1755,DIRAS2|54769,DSC3|1825,DPYS|1807,DIRAS2|54769
DNAH11|8701,DMBT1|1755,DSG3|1830,DSC3|1825,DMBT1|1755
DPEP1|1800,DNAH11|8701,EEF1A2|1917,DSG3|1830,DNAH11|8701
DPYS|1807,DPYS|1807,EHF|26298,EEF1A2|1917,DPYS|1807
DSC3|1825,DSC3|1825,EIF1AY|9086,EHF|26298,DSC3|1825
DSG3|1830,DSG3|1830,ELF5|2001,EIF1AY|9086,DSG3|1830
EEF1A2|1917,EEF1A2|1917,EMX2OS|196047,ELF5|2001,EEF1A2|1917
EHF|26298,EHF|26298,EMX2|2018,EMX2OS|196047,EHF|26298
EIF1AY|9086,EIF1AY|9086,ENPP3|5169,EMX2|2018,EIF1AY|9086
ELF5|2001,ELF5|2001,EPHA7|2045,ENPP3|5169,ELF5|2001
EMX2OS|196047,EMX2OS|196047,EPN3|55040,EPHA7|2045,EMX2OS|196047
EMX2|2018,EMX2|2018,EPS8L3|79574,EPN3|55040,EMX2|2018
ENPP3|5169,ENPP3|5169,ERBB4|2066,EPS8L3|79574,ENPP3|5169
EPHA7|2045,EPHA7|2045,EREG|2069,ERBB4|2066,EPHA7|2045
EPN3|55040,EPN3|55040,ERN2|10595,EREG|2069,EPN3|55040
EPS8L3|79574,EPS8L3|79574,ESR1|2099,ERN2|10595,EPS8L3|79574
ERBB4|2066,ERBB4|2066,ESRP1|54845,ESR1|2099,ERBB4|2066
EREG|2069,EREG|2069,FABP1|2168,ESRP1|54845,EREG|2069
ERN2|10595,ERN2|10595,FABP4|2167,ETV4|2118,ERN2|10595
ESR1|2099,ESR1|2099,FABP6|2172,FABP1|2168,ESR1|2099
ESRP1|54845,ESRP1|54845,FABP7|2173,FABP4|2167,ESRP1|54845
ETV4|2118,ETV4|2118,FAM3B|54097,FABP6|2172,FABP1|2168
FABP1|2168,FABP1|2168,FAM3D|131177,FABP7|2173,FABP4|2167
FABP4|2167,FABP4|2167,FAM5C|339479,FAM3B|54097,FABP6|2172
FABP6|2172,FABP6|2172,FAM83A|84985,FAM3D|131177,FABP7|2173
FABP7|2173,FABP7|2173,FAM83E|54854,FAM5C|339479,FAM3B|54097
FAM3B|54097,FAM3B|54097,FERMT1|55612,FAM83A|84985,FAM3D|131177
FAM3D|131177,FAM3D|131177,FGA|2243,FAM83E|54854,FAM5C|339479
FAM5C|339479,FAM5C|339479,FGB|2244,FERMT1|55612,FAM83A|84985
FAM83A|84985,FAM83A|84985,FGG|2266,FGA|2243,FAM83E|54854
FAM83E|54854,FAM83E|54854,FGL1|2267,FGB|2244,FERMT1|55612
FERMT1|55612,FERMT1|55612,FLJ45983|399717,FGG|2266,FGA|2243
FGA|2243,FGA|2243,FOLH1|2346,FGL1|2267,FGB|2244
FGB|2244,FGB|2244,FOLR1|2348,FLJ45983|399717,FGFBP1|9982
FGG|2266,FGG|2266,FOXA1|3169,FOLH1|2346,FGG|2266
FGL1|2267,FGL1|2267,FOXA2|3170,FOLR1|2348,FGL1|2267
FLJ45983|399717,FLJ45983|399717,FOXI1|2299,FOXA1|3169,FLJ45983|399717
FOLH1|2346,FOLH1|2346,FOXJ1|2302,FOXA2|3170,FOLH1|2346
FOLR1|2348,FOLR1|2348,FUT3|2525,FOXA3|3171,FOLR1|2348
FOXA1|3169,FOXA1|3169,FUT6|2528,FOXI1|2299,FOXA1|3169
FOXA2|3170,FOXA2|3170,FXYD2|486,FOXJ1|2302,FOXA2|3170
FOXA3|3171,FOXA3|3171,FXYD3|5349,FUT3|2525,FOXA3|3171
FOXI1|2299,FOXI1|2299,GABRB3|2562,FUT6|2528,FOXI1|2299
FOXJ1|2302,FOXJ1|2302,GABRP|2568,FXYD2|486,FOXJ1|2302
FUT3|2525,FUT3|2525,GAL3ST1|9514,FXYD3|5349,FUT3|2525
FUT6|2528,FUT6|2528,GALNT14|79623,GABRB3|2562,FUT6|2528
FXYD2|486,FXYD2|486,GATA3|2625,GABRP|2568,FXYD2|486
FXYD3|5349,FXYD3|5349,GBA3|57733,GAL3ST1|9514,FXYD3|5349
GABRB3|2562,GABRB3|2562,GCNT3|9245,GALNT14|79623,GABRB3|2562
GABRP|2568,GABRP|2568,GDA|9615,GATA3|2625,GABRP|2568
GAL3ST1|9514,GAL3ST1|9514,GDEP|118425,GBA3|57733,GAL3ST1|9514
GALNT14|79623,GALNT14|79623,GFRA1|2674,GCNT3|9245,GALNT14|79623
GATA3|2625,GATA3|2625,GJB1|2705,GDA|9615,GATA3|2625
GBA3|57733,GBA3|57733,GLB1L3|112937,GFRA1|2674,GBA3|57733
GCNT3|9245,GCNT3|9245,GLYATL1|92292,GJB1|2705,GCNT3|9245
GDA|9615,GDA|9615,GLYAT|10249,GLB1L3|112937,GDA|9615
GDEP|118425,GDEP|118425,GNG4|2786,GLYATL1|92292,GDEP|118425
GFRA1|2674,GFRA1|2674,GP2|2813,GLYAT|10249,GFRA1|2674
GJB1|2705,GJB1|2705,GPA33|10223,GNG4|2786,GJB1|2705
GLB1L3|112937,GLB1L3|112937,GPR110|266977,GP2|2813,GLB1L3|112937
GLYATL1|92292,GLYATL1|92292,GPX2|2877,GPA33|10223,GLYATL1|92292
GLYAT|10249,GLYAT|10249,GREB1|9687,GPR110|266977,GLYAT|10249
GNG4|2786,GNG4|2786,GRHL2|79977,GPX2|2877,GNG4|2786
GP2|2813,GP2|2813,GSTA1|2938,GREB1|9687,GP2|2813
GPA33|10223,GPA33|10223,GSTA2|2939,GRHL2|79977,GPA33|10223
GPR110|266977,GPD1|2819,GSTM1|2944,GRIK3|2899,GPD1|2819
GPX2|2877,GPR110|266977,GSTT1|2952,GSTA1|2938,GPR110|266977
GREB1|9687,GPX2|2877,HABP2|3026,GSTA2|2939,GPX2|2877
GRHL2|79977,GREB1|9687,HAO2|51179,GSTM1|2944,GREB1|9687
GRIK3|2899,GRHL2|79977,HAVCR1|26762,GSTT1|2952,GRHL2|79977
GSTA1|2938,GSTA1|2938,HBA1|3039,HABP2|3026,GSTA1|2938
GSTA2|2939,GSTA2|2939,HGD|3081,HAO2|51179,GSTA2|2939
GSTM1|2944,GSTM1|2944,HHLA2|11148,HAVCR1|26762,GSTM1|2944
GSTT1|2952,GSTT1|2952,HKDC1|80201,HBA1|3039,GSTT1|2952
HABP2|3026,HABP2|3026,HMGCS2|3158,HHLA2|11148,HABP2|3026
HAVCR1|26762,HAO2|51179,HNF1B|6928,HKDC1|80201,HAO2|51179
HBA1|3039,HAVCR1|26762,HNF4A|3172,HMGCS2|3158,HAVCR1|26762
HHLA2|11148,HBA1|3039,HOXA11AS|221883,HNF1B|6928,HBA1|3039
HKDC1|80201,HHLA2|11148,HOXA13|3209,HNF4A|3172,HHLA2|11148
HMGCS2|3158,HKDC1|80201,HOXB13|10481,HOXA11AS|221883,HKDC1|80201
HNF1B|6928,HMGCS2|3158,HOXC10|3226,HOXA13|3209,HMGCS2|3158
HNF4A|3172,HNF1B|6928,HOXC13|3229,HOXB13|10481,HNF1B|6928
HOXA11AS|221883,HNF4A|3172,HP|3240,HOXC10|3226,HNF4A|3172
HOXA13|3209,HOXA11AS|221883,IHH|3549,HOXC13|3229,HOXA11AS|221883
HOXB13|10481,HOXA13|3209,IL20RA|53832,HP|3240,HOXA13|3209
HOXC10|3226,HOXB13|10481,IRX2|153572,HS6ST3|266722,HOXB13|10481
HOXC13|3229,HOXC10|3226,IRX4|50805,IHH|3549,HOXC10|3226
HP|3240,HOXC13|3229,ISX|91464,IL20RA|53832,HOXC13|3229
IHH|3549,HP|3240,KCNC2|3747,IRX4|50805,HP|3240
IL20RA|53832,IHH|3549,KCNJ16|3773,KCNC2|3747,HS6ST3|266722
IRX4|50805,IL20RA|53832,KCNJ3|3760,KCNJ16|3773,IHH|3549
KCNC2|3747,IRX2|153572,KCNK3|3777,KCNJ3|3760,IL20RA|53832
KCNJ16|3773,IRX4|50805,KDM5D|8284,KCNK3|3777,IRX4|50805
KCNJ3|3760,KCNC2|3747,KIAA1324|57535,KDM5D|8284,KCNC2|3747
KCNK3|3777,KCNJ16|3773,KIF1A|547,KIAA1324|57535,KCNJ16|3773
KDM5D|8284,KCNJ3|3760,KLK10|5655,KIF1A|547,KCNJ3|3760
KIAA1324|57535,KCNK3|3777,KLK11|11012,KLK10|5655,KCNK3|3777
KIF1A|547,KDM5D|8284,KLK12|43849,KLK11|11012,KDM5D|8284
KLK10|5655,KIAA1324|57535,KLK2|3817,KLK12|43849,KIAA1324|57535
KLK11|11012,KIF1A|547,KLK3|354,KLK2|3817,KIF1A|547
KLK12|43849,KLK10|5655,KLK4|9622,KLK3|354,KLK10|5655
KLK2|3817,KLK11|11012,KLK5|25818,KLK4|9622,KLK11|11012
KLK3|354,KLK12|43849,KLK6|5653,KLK5|25818,KLK12|43849
KLK4|9622,KLK2|3817,KRT14|3861,KLK6|5653,KLK2|3817
KLK5|25818,KLK3|354,KRT15|3866,KRT14|3861,KLK3|354
KLK6|5653,KLK4|9622,KRT16|3868,KRT15|3866,KLK4|9622
KRT14|3861,KLK5|25818,KRT17|3872,KRT16|3868,KLK5|25818
KRT15|3866,KLK6|5653,KRT20|54474,KRT17|3872,KLK6|5653
